fips,No. of clinics per 1000 women with demand,colour assignment 
51159,7.5758,8
51760,0.4768,0.5
51161,0.0983,0.5
51770,0.3132,0.5
51167,0.7813,0.5
51775,0.3049,0.5
51169,0.9569,0.5
51171,0.2415,0.5
51173,0.6667,0.5
51175,1.227,1.5
51177,0.0626,0.5
51179,0.0555,0.5
51790,0.3165,0.5
51800,0.3617,0.5
51181,3.2787,3.5
51183,3.2967,3.5
51185,0.4866,0.5
51810,0.0488,0.5
51187,0.2237,0.5
51191,0.367,0.5
51820,0.3876,0.5
51193,0.6211,0.5
51840,0.2825,0.5
51195,0.9639,0.5
51197,0.3584,0.5
53001,0.8969,0.5
53005,0.1718,0.5
53007,0.4773,0.5
53009,1.072,1.5
53011,0.0876,0.5
53013,3.0303,3.5
53015,0.3463,0.5
53017,0.4376,0.5
53019,6.7797,8
53021,0.5213,0.5
53023,5.8824,8
53025,0.542,0.5
53027,0.7174,0.5
53031,1.9802,1.5
53033,0.2481,0.5
53035,0.3274,0.5
53037,0.295,0.5
53039,1.0989,1.5
53041,1.1321,1.5
53045,0.5319,0.5
53047,2.4259,2.5
53049,2.5157,2.5
53051,1.8349,1.5
53053,0.089,0.5
53055,0.8475,0.5
53057,0.3734,0.5
53059,0.9009,0.5
53061,0.1203,0.5
53063,0.2374,0.5
53065,1.7544,1.5
53067,0.1448,0.5
53069,3.4483,3.5
53071,0.4149,0.5
53073,0.272,0.5
53075,0.1062,0.5
53077,0.5755,0.5
54001,1.5873,1.5
54003,0.1447,0.5
54005,1.2658,1.5
54007,3.0534,3.5
54009,1.2712,1.5
54011,0.96,0.5
54013,3.1746,3.5
54015,5.6818,8
54017,3.7975,3.5
54019,1.6018,1.5
54021,5.1948,8
54023,2.9703,2.5
54025,1.2384,1.5
54027,0.4386,0.5
54029,1.0345,1.5
54031,2.4194,2.5
54033,0.5333,0.5
54035,1.0989,1.5
54037,0.4658,0.5
54039,0.6283,0.5
54041,2.5974,2.5
54043,2.765,2.5
54045,1.4451,1.5
54047,0.7407,0.5
54049,0.3135,0.5
54051,0.6757,0.5
54053,2.907,2.5
54055,0.7429,0.5
54057,0.692,0.5
54059,1.6736,1.5
54061,0.2346,0.5
54063,4.386,4.5
54065,1.8868,1.5
54067,2.1368,2.5
54069,0.2114,0.5
54071,5.6604,8
54073,3.0303,3.5
54075,8.6957,8
54077,1.4085,1.5
54079,0.8251,0.5
54081,0.4944,0.5
54083,2.1277,2.5
54085,1.1494,1.5
54087,0.8065,0.5
54089,0.7463,0.5
54091,1.1696,1.5
54093,5.0847,8
54095,1.25,1.5
54097,1.5267,1.5
54099,0.6803,0.5
54101,5.4795,8
54103,0.7092,0.5
54105,1.7544,1.5
54107,0.431,0.5
54109,1.4634,1.5
55001,1.5504,1.5
55003,1.3699,1.5
55005,0.4963,0.5
55007,1.8868,1.5
55009,0.0955,0.5
55013,1.7857,1.5
55015,0.7533,0.5
55017,1.092,1.5
55019,0.9646,0.5
55021,0.1712,0.5
55023,0.7576,0.5
55025,0.0652,0.5
55031,0.2075,0.5
55033,0.3284,0.5
55035,0.1321,0.5
55041,3.6585,3.5
55043,0.1656,0.5
55047,0.6369,0.5
55049,0.4292,0.5
55051,2.5641,2.5
55053,1.1765,1.5
55057,0.4608,0.5
55059,0.1956,0.5
55063,0.0601,0.5
55065,0.6579,0.5
55067,1.2821,1.5
55069,0.3891,0.5
55071,0.1274,0.5
55073,0.347,0.5
55075,0.2825,0.5
55078,2.0833,2.5
55079,0.1432,0.5
55081,0.6897,0.5
55083,0.5882,0.5
55085,0.6993,0.5
55087,0.0458,0.5
55091,1.6393,1.5
55093,0.3565,0.5
55095,0.2632,0.5
55097,0.1067,0.5
55099,3.0612,3.5
55101,0.0461,0.5
55103,0.6711,0.5
55105,0.2141,0.5
55107,1.8349,1.5
55109,0.1475,0.5
55111,2.4194,2.5
55113,0.2551,0.5
55115,0.1641,0.5
55117,0.1032,0.5
55119,0.5747,0.5
55121,0.365,0.5
55123,0.3831,0.5
55125,2.1127,2.5
55127,0.0818,0.5
55129,1.6667,1.5
55131,0.0727,0.5
55133,0.0238,0.5
55135,0.2155,0.5
55137,0.565,0.5
55139,0.0474,0.5
55141,0.1357,0.5
56001,0.1451,0.5
56003,1.7699,1.5
56005,0.1592,0.5
56007,0.6536,0.5
56011,1.5625,1.5
56013,1.3636,1.5
56015,0.8065,0.5
56017,2.5641,2.5
56019,1.3333,1.5
56021,0.2545,0.5
56025,0.4921,0.5
56027,3.0303,3.5
56029,0.3425,0.5
56031,1.3889,1.5
56033,0.3021,0.5
56035,2.0619,2.5
56037,0.3559,0.5
56041,0.4098,0.5
56043,1.3333,1.5
56045,1.5385,1.5
