fips,No. of clinics per 1000 women with demand,colour assignment 
13273,2.0619,2.5
13275,0.1908,0.5
13277,0.3914,0.5
13279,0.6211,0.5
13281,0.9901,0.5
13283,3.0303,3.5
13285,0.2227,0.5
13287,1.2987,1.5
13289,2.5641,2.5
13291,0.6061,0.5
13293,0.6734,0.5
13295,0.3963,0.5
13297,0.2799,0.5
13299,0.7557,0.5
13301,4.0816,4.5
13303,1.5228,1.5
13305,0.3096,0.5
13307,4.3478,4.5
13309,1.9231,1.5
13311,0.7273,0.5
13313,0.1618,0.5
13315,2.9412,2.5
13317,1.1111,1.5
13319,2.2727,2.5
13321,0.431,0.5
15001,0.6906,0.5
15003,0.1501,0.5
15007,0.3797,0.5
15009,0.368,0.5
16001,0.1781,0.5
16003,3.7037,3.5
16005,0.6422,0.5
16007,3.5714,3.5
16009,4,3.5
16011,0.7722,0.5
16017,1.2821,1.5
16019,0.1443,0.5
16021,2.8846,2.5
16023,4.3478,4.5
16025,10,8
16027,0.3407,0.5
16029,1.5873,1.5
16031,0.3802,0.5
16033,10,8
16035,5.2632,8
16037,3.125,3.5
16039,0.9063,0.5
16041,0.6757,0.5
16043,1.4815,1.5
16045,1.1834,1.5
16049,1.6949,1.5
16051,0.9346,0.5
16053,0.3788,0.5
16055,0.2283,0.5
16057,0.3205,0.5
16059,1.7241,1.5
16061,6.6667,8
16065,0.2677,0.5
16067,0.4367,0.5
16069,0.6494,0.5
16071,2.6316,2.5
16073,2.5641,2.5
16075,1.2097,1.5
16077,2.6316,2.5
16079,2.8037,2.5
16081,0.7692,0.5
16083,0.4907,0.5
16085,1.2048,1.5
16087,1.1765,1.5
17001,0.2721,0.5
17003,4.7619,4.5
17005,0.5747,0.5
17007,0.1698,0.5
17017,1.5504,1.5
17019,0.1773,0.5
17025,0.7874,0.5
17029,0.3841,0.5
17031,0.2445,0.5
17037,0.1832,0.5
17043,0.063,0.5
17047,1.6667,1.5
17049,0.5362,0.5
17051,0.4926,0.5
17055,0.5263,0.5
17057,0.5917,0.5
17059,2.0833,2.5
17067,0.5882,0.5
17069,6.4516,8
17071,3.2258,3.5
17073,0.404,0.5
17077,0.6494,0.5
17081,0.2551,0.5
17083,0.4149,0.5
17087,3.0612,3.5
17089,0.1587,0.5
17091,0.1498,0.5
17093,0.1243,0.5
17095,0.3795,0.5
17097,0.1735,0.5
17099,0.074,0.5
17101,0.7519,0.5
17103,0.3058,0.5
17105,0.2513,0.5
17109,0.3223,0.5
17111,0.207,0.5
17113,0.1881,0.5
17115,0.2445,0.5
17119,0.7937,0.5
17121,0.6711,0.5
17125,0.0874,0.5
17127,0.1542,0.5
17137,0.5263,0.5
17143,0.2165,0.5
17145,0.5495,0.5
17149,0.6803,0.5
17151,2.8571,2.5
17153,3.6364,3.5
17159,0.6757,0.5
17161,0.3697,0.5
17163,1.2766,1.5
17165,0.1703,0.5
17173,0.3734,0.5
17177,0.2198,0.5
17179,0.0679,0.5
17181,1.2422,1.5
17183,0.1202,0.5
17185,0.9174,0.5
17191,0.6494,0.5
17193,2.3438,2.5
17195,0.1736,0.5
17197,0.0359,0.5
17199,0.5391,0.5
17201,0.1505,0.5
18003,0.0868,0.5
18005,0.3125,0.5
18011,0.135,0.5
18015,0.4831,0.5
18017,0.2494,0.5
18019,0.2123,0.5
18027,0.2762,0.5
18033,0.3333,0.5
18035,0.3582,0.5
18037,0.2217,0.5
18039,0.209,0.5
18043,0.2191,0.5
18053,0.1196,0.5
18057,0.0784,0.5
18059,0.1186,0.5
18061,0.4695,0.5
18063,0.0526,0.5
18065,0.2075,0.5
18067,0.1082,0.5
18071,0.4024,0.5
18081,0.1049,0.5
18083,0.2353,0.5
18085,0.1092,0.5
18087,0.1759,0.5
18091,0.2744,0.5
18095,0.3425,0.5
18097,0.2244,0.5
18103,0.2793,0.5
18105,0.0793,0.5
18119,0.4762,0.5
18121,0.5291,0.5
18125,0.813,0.5
18127,0.2548,0.5
18133,0.2315,0.5
18139,0.6098,0.5
18141,0.3788,0.5
18147,0.1748,0.5
18157,0.1021,0.5
18163,0.3029,0.5
18165,1.2821,1.5
18167,0.2913,0.5
18173,0.1481,0.5
18177,0.2699,0.5
18181,0.4587,0.5
19007,0.9009,0.5
19011,0.7752,0.5
19013,0.2157,0.5
19015,0.3571,0.5
19019,0.5025,0.5
19021,0.4255,0.5
19023,0.7752,0.5
19027,0.5319,0.5
19029,0.8696,0.5
19033,0.2299,0.5
19045,0.3984,0.5
19047,0.625,0.5
19049,0.1871,0.5
19053,2.1505,2.5
19057,0.4843,0.5
19061,0.2676,0.5
19069,1.0989,1.5
19085,0.7299,0.5
19091,1.1905,1.5
19097,0.5917,0.5
19101,0.5988,0.5
19103,0.0818,0.5
19105,1.0363,1.5
19107,1.1111,1.5
19111,0.5831,0.5
19113,0.2193,0.5
19115,0.9524,0.5
19123,0.4149,0.5
19127,0.4785,0.5
19133,2.7397,2.5
19135,1.4085,1.5
19139,0.2088,0.5
19153,0.176,0.5
19155,0.2857,0.5
19157,0.4878,0.5
19163,0.1918,0.5
19165,0.9901,0.5
19167,0.5249,0.5
19169,0.1226,0.5
19171,1.2821,1.5
19179,0.5025,0.5
19187,0.7772,0.5
19189,1.0526,1.5
19191,0.4274,0.5
19193,0.1595,0.5
19197,0.9259,0.5
20001,1.6393,1.5
20003,1.4493,1.5
20005,0.4854,0.5
20007,2.5641,2.5
20009,0.7018,0.5
20011,0.7042,0.5
20013,2.3529,2.5
20015,0.134,0.5
20019,3.7037,3.5
20021,1.0753,1.5
20027,1.4286,1.5
20029,1.1236,1.5
20031,1.2821,1.5
20033,6.25,8
20035,0.5,0.5
20037,0.3745,0.5
20039,5,4.5
20043,1.1765,1.5
20045,0.1456,0.5
20047,3.8462,3.5
20051,0.4878,0.5
20053,2.0833,2.5
20055,0.4525,0.5
20057,0.2532,0.5
20059,0.7067,0.5
20061,0.5671,0.5
20067,5,4.5
20069,1.6393,1.5
20073,2.1277,2.5
20077,2.0408,2.5
20079,0.7813,0.5
20081,2.3256,2.5
20085,1.4925,1.5
20091,0.0692,0.5
20093,2.2727,2.5
20095,1.4085,1.5
20097,3.8462,3.5
20099,0.4902,0.5
20103,0.1186,0.5
20105,4.1667,4.5
20109,3.8462,3.5
20111,0.2,0.5
20117,0.3322,0.5
20119,2.439,2.5
20121,0.6006,0.5
20123,1.9231,1.5
20125,0.6024,0.5
20127,2.2222,2.5
20129,3.7037,3.5
20133,0.6623,0.5
20141,3.2258,3.5
20143,1.7544,1.5
20145,1.8182,1.5
20147,2.0833,2.5
20149,0.738,0.5
20151,1.087,1.5
20155,0.3125,0.5
20157,2.8571,2.5
20159,1.0526,1.5
20161,0.073,0.5
20163,2.1739,2.5
20167,1.5873,1.5
20169,0.3273,0.5
20173,0.2804,0.5
20175,0.7273,0.5
20177,0.2924,0.5
20179,5,4.5
20181,1.8519,1.5
20183,3.8462,3.5
20185,2.8571,2.5
20187,5.5556,8
20191,0.4202,0.5
20193,1.0417,1.5
20195,4,3.5
20197,1.5873,1.5
20201,2.2222,2.5
20209,0.0481,0.5
21001,0.9217,0.5
21003,0.4329,0.5
21005,0.7782,0.5
21007,1.2346,1.5
21009,0.2053,0.5
21011,0.7519,0.5
21013,0.6897,0.5
21015,0.1967,0.5
21017,0.4651,0.5
21019,0.3968,0.5
21021,0.2976,0.5
21023,1.1111,1.5
21025,0.7519,0.5
21027,0.5525,0.5
21029,0.106,0.5
21031,0.7407,0.5
21033,1.6129,1.5
21035,0.1721,0.5
21037,0.2573,0.5
21039,2.1739,2.5
21041,0.9259,0.5
21043,0.3559,0.5
21045,0.6211,0.5
21047,0.3405,0.5
21049,0.2494,0.5
21051,0.9756,0.5
21053,2.0202,2.5
21055,1.1905,1.5
21057,3.2258,3.5
21059,0.265,0.5
21061,0.7752,0.5
21063,1.6393,1.5
21065,1.4493,1.5
21067,0.1488,0.5
21069,0.6803,0.5
21071,1.6349,1.5
21073,0.1647,0.5
21075,3.0769,3.5
21077,2.0619,2.5
21079,0.5917,0.5
21081,0.3546,0.5
21083,0.2475,0.5
21085,0.3802,0.5
21087,0.9901,0.5
21089,0.2703,0.5
21091,1.0989,1.5
21093,0.1572,0.5
21095,1.8727,1.5
21097,0.5405,0.5
21099,0.5525,0.5
21101,0.5703,0.5
21103,0.5882,0.5
21105,2.3256,2.5
21107,0.3984,0.5
21109,1.4925,1.5
21111,0.1129,0.5
21113,0.1534,0.5
21115,0.4425,0.5
21117,0.097,0.5
21119,1.2658,1.5
21121,0.8403,0.5
21123,0.6494,0.5
21125,0.1441,0.5
21127,0.641,0.5
21129,3.3898,3.5
21131,1.9048,1.5
21133,1.3889,1.5
21135,1.4925,1.5
21137,0.3745,0.5
21139,1.0989,1.5
21141,0.7519,0.5
21143,1.8519,1.5
21145,0.3026,0.5
21147,1.6129,1.5
21149,0.5208,0.5
21151,0.3378,0.5
21153,1.9802,1.5
21155,1.0582,1.5
21157,0.1379,0.5
21159,1.8405,1.5
21161,2.0619,2.5
21163,0.2994,0.5
21165,1.5152,1.5
21167,0.4785,0.5
21169,0.9615,0.5
21171,3,2.5
21173,0.9202,0.5
21175,0.8772,0.5
21177,0.9967,0.5
21179,0.1894,0.5
21181,1.4085,1.5
21183,0.4098,0.5
21185,0.152,0.5
21187,2.8846,2.5
21189,4.5455,4.5
21191,0.6369,0.5
21193,1.4599,1.5
21195,0.3373,0.5
21197,0.7692,0.5
21199,0.1466,0.5
21201,5.5556,8
21203,0.5556,0.5
21205,0.2703,0.5
21207,1.7647,1.5
21209,0.1422,0.5
21211,0.1751,0.5
21213,0.5263,0.5
21215,1,0.5
21217,0.3356,0.5
21219,0.7813,0.5
21221,0.7463,0.5
21223,1.0638,1.5
21225,0.6494,0.5
21227,0.2197,0.5
21229,0.7937,0.5
21231,0.5025,0.5
21233,2.2901,2.5
21235,0.7059,0.5
21237,1.4493,1.5
21239,0.3521,0.5
22001,0.2649,0.5
22003,0.8811,0.5
22005,0.1287,0.5
22007,0.3968,0.5
22009,0.7009,0.5
22011,0.4902,0.5
22013,2.1583,2.5
22015,0.1245,0.5
22017,0.1876,0.5
22019,0.0782,0.5
22021,1.0309,1.5
22025,3.2967,3.5
22027,1.5748,1.5
22029,0.9756,0.5
22031,0.6431,0.5
22033,0.1202,0.5
22035,1.5385,1.5
22037,2.6316,2.5
22039,0.5848,0.5
22041,1.4493,1.5
22043,0.8969,0.5
22045,0.227,0.5
22047,0.9877,0.5
22049,0.6803,0.5
22051,0.2408,0.5
22053,0.59,0.5
22055,0.6667,0.5
22057,0.1781,0.5
22059,0.1634,0.5
22061,0.1258,0.5
22063,0.1669,0.5
22065,1.5038,1.5
22067,1.7301,1.5
22069,0.3683,0.5
22071,0.4378,0.5
22073,0.2857,0.5
22075,0.3534,0.5
22077,2.0747,2.5
22079,0.2481,0.5
22081,1.1905,1.5
22083,2.6906,2.5
22085,0.431,0.5
22087,0.16,0.5
22089,0.3049,0.5
22091,0.8403,0.5
22093,0.3937,0.5
22095,0.367,0.5
22097,0.206,0.5
22099,0.3101,0.5
22101,0.4967,0.5
22103,0.0346,0.5
22105,0.4053,0.5
22107,2.5641,2.5
22109,0.2867,0.5
22111,0.8584,0.5
22113,0.2805,0.5
22115,0.2994,0.5
22117,0.5871,0.5
22119,0.6849,0.5
22121,0.6154,0.5
22123,0.9524,0.5
22127,2.2556,2.5
23001,0.3997,0.5
23003,2.6359,2.5
23005,0.3397,0.5
23007,1.2821,1.5
23009,1.2121,1.5
23011,0.5158,0.5
23013,0.8746,0.5
23015,1.0453,1.5
23017,0.7737,0.5
23019,0.9382,0.5
23021,1.4388,1.5
23023,0.5479,0.5
23025,1.0616,1.5
23027,0.5333,0.5
23029,4.7794,4.5
23031,0.2234,0.5
24001,0.2528,0.5
24003,0.0566,0.5
24005,0.1592,0.5
24009,0.0977,0.5
24011,0.8671,0.5
24013,0.0547,0.5
24015,0.1684,0.5
24017,0.1461,0.5
24019,1.1268,1.5
24021,0.0337,0.5
24023,1.4235,1.5
24025,0.0686,0.5
24027,0.0507,0.5
24029,0.4926,0.5
24031,0.1081,0.5
24033,0.0962,0.5
24035,0.2028,0.5
24037,0.6211,0.5
24039,0.1408,0.5
24041,1.4451,1.5
24043,0.2451,0.5
24045,0.5544,0.5
24047,0.6289,0.5
24510,0.4409,0.5
25001,0.542,0.5
25003,0.4386,0.5
25005,0.1018,0.5
25007,1.1628,1.5
25009,0.3845,0.5
25011,0.4027,0.5
25013,0.2372,0.5
25015,0.1898,0.5
25017,0.0968,0.5
25019,0.8264,0.5
25021,0.0797,0.5
25023,0.1385,0.5
25025,0.6127,0.5
25027,0.2376,0.5
26001,3.2258,3.5
26003,3.3898,3.5
26005,0.1619,0.5
26007,1.0989,1.5
26009,1.676,1.5
26011,1.6393,1.5
26013,3.2787,3.5
26015,0.1645,0.5
26017,0.2639,0.5
26019,1.2579,1.5
26021,0.4813,0.5
26025,0.194,0.5
26027,0.3968,0.5
26029,0.9174,0.5
26031,1.4925,1.5
26033,1.2755,1.5
26035,0.3876,0.5
26037,0.1152,0.5
26039,0.9259,0.5
26041,0.5952,0.5
26043,0.4184,0.5
26045,0.0805,0.5
26047,0.974,0.5
26049,0.1888,0.5
26051,1.0309,1.5
26053,1.8018,1.5
26055,0.499,0.5
26057,0.237,0.5
26059,0.2053,0.5
26061,1.199,1.5
26063,0.7968,0.5
26065,0.1332,0.5
26067,0.1531,0.5
26069,1.0811,1.5
26071,2.6316,2.5
26073,0.2364,0.5
26075,0.3521,0.5
26077,0.1338,0.5
26079,0.5988,0.5
26081,0.1654,0.5
26085,1.2195,1.5
26087,0.1131,0.5
26089,1.1494,1.5
26091,0.1953,0.5
26093,0.0508,0.5
26095,2.381,2.5
26097,2.439,2.5
26099,0.117,0.5
26101,1.6216,1.5
26103,0.4796,0.5
26105,0.3731,0.5
26107,0.3584,0.5
26109,1.4634,1.5
26111,0.1072,0.5
26113,1.3793,1.5
26115,0.246,0.5
26117,0.3091,0.5
26119,4.918,4.5
26121,0.205,0.5
26123,0.9132,0.5
26125,0.0682,0.5
26127,0.8658,0.5
26129,1.1905,1.5
26131,9.0909,8
26133,0.4808,0.5
26135,1.5625,1.5
26137,0.431,0.5
26139,0.1099,0.5
26141,3.4483,3.5
26143,2.5478,2.5
26145,0.4966,0.5
26147,0.2786,0.5
26149,3.2787,3.5
26151,0.1359,0.5
26153,0.1195,0.5
26157,0.2062,0.5
26159,0.1287,0.5
26161,0.1085,0.5
26163,0.1624,0.5
26165,0.59,0.5
27003,0.0248,0.5
27005,0.9772,0.5
27007,0.3472,0.5
27013,0.2896,0.5
27015,0.3817,0.5
27017,0.8696,0.5
27021,1.6667,1.5
27025,0.3546,0.5
27027,0.2208,0.5
27031,7.1429,8
27037,0.02,0.5
27039,0.4329,0.5
27041,0.2681,0.5
27049,0.2165,0.5
27053,0.174,0.5
27059,0.2364,0.5
27061,1.0724,1.5
27065,0.7092,0.5
27067,0.2242,0.5
27071,2.8846,2.5
27075,1.2195,1.5
27083,0.6536,0.5
27085,3.9216,3.5
27091,0.2611,0.5
27095,0.3802,0.5
27099,0.2392,0.5
27105,0.8584,0.5
27107,1.7544,1.5
27109,0.0534,0.5
27111,0.3914,0.5
27115,0.4274,0.5
27119,0.2933,0.5
27123,0.2135,0.5
27125,2.9412,2.5
27131,0.1256,0.5
27137,0.0587,0.5
27143,0.7653,0.5
27145,0.0494,0.5
27149,1.6,1.5
27153,0.4808,0.5
27157,0.4739,0.5
27159,0.8065,0.5
27165,0.9804,0.5
27169,0.1348,0.5
28001,0.9288,0.5
28003,0.4728,0.5
28005,1.6667,1.5
28007,0.5236,0.5
28009,1.1111,1.5
28011,1.1521,1.5
28013,1.3699,1.5
28015,1.0204,1.5
28017,1.6304,1.5
28019,1.2658,1.5
28021,1.4599,1.5
28023,0.5435,0.5
28025,0.4464,0.5
28027,0.9434,0.5
28029,0.8721,0.5
