,fips,state,name,area_2010,unemployment_rate_2019,per_capita_income_2019,"Total publicly funded clinics, 2015 [1]",proportion_votes_democrats_2016,proportion_votes_republican_2016,clinics_per_sqmiles,clinics_per_1000_sqmiles,percent_votes_democrats_2016,percent_votes_republican_2016,Rates_of_adherence_per_1000_population
268,8055,Colorado,Huerfano County,1591,3.3,25140,1,0.432396607,0.497083775,0.000628536,0.63,43.24,49.71,670.39
269,8057,Colorado,Jackson County,1613.72,2,28199,0,0.19837587,0.728538283,0,0.00,19.84,72.85,248.21
270,8059,Colorado,Jefferson County,764.21,3.4,44119,10,0.490697156,0.420745714,0.013085408,13.09,49.07,42.07,356.87
271,8061,Colorado,Kiowa County,1767.77,2.7,25937,0,0.106682298,0.851113716,0,0.00,10.67,85.11,1153.08
272,8063,Colorado,Kit Carson County,2160.82,3.5,27797,2,0.145585386,0.800996402,0.000925575,0.93,14.56,80.10,543.29
273,8065,Colorado,Lake County,376.91,3.1,29122,4,0.503937008,0.398110236,0.010612613,10.61,50.39,39.81,161.97
274,8067,Colorado,La Plata County,1692.08,3.6,39493,2,0.498014452,0.405930603,0.001181977,1.18,49.80,40.59,393.21
275,8069,Colorado,Larimer County,2596,4.1,37363,9,0.475355472,0.426123148,0.003466872,3.47,47.54,42.61,406.79
276,8071,Colorado,Las Animas County,4772.67,6.7,25813,0,0.390557299,0.546242343,0,0.00,39.06,54.62,891.79
277,8073,Colorado,Lincoln County,2577.63,2.8,16753,2,0.166111574,0.779766861,0.000775907,0.78,16.61,77.98,420.34
278,8075,Colorado,Logan County,1838.55,3.5,26727,2,0.189960833,0.749536178,0.001087814,1.09,19.00,74.95,371.53
279,8077,Colorado,Mesa County,3328.97,6.1,29596,2,0.279902773,0.642782734,0.000600786,0.60,27.99,64.28,345.74
280,8079,Colorado,Mineral County,875.67,2.9,33955,0,0.363496933,0.527607362,0,0.00,36.35,52.76,796.35
281,8081,Colorado,Moffat County,4743.29,3.5,29100,1,0.134254992,0.813056836,0.000210824,0.21,13.43,81.31,320.99
282,8083,Colorado,Montezuma County,2029.53,4.3,26072,3,0.308515662,0.611600819,0.001478175,1.48,30.85,61.16,314
283,8085,Colorado,Montrose County,2240.7,6.3,28078,4,0.258092074,0.678832463,0.001785156,1.79,25.81,67.88,272.51
284,8087,Colorado,Morgan County,1280.43,3.8,25064,2,0.263122476,0.681695828,0.001561975,1.56,26.31,68.17,503.85
285,8089,Colorado,Otero County,1261.96,7.6,21110,3,0.341206828,0.593092497,0.002377254,2.38,34.12,59.31,795.97
