fips,"Total publicly funded clinics, 2015 [1]","no. of women with demand, 18 and under to 44",No. of clinics per women with demand,No. of clinics per 1000 women with demand
22087,1.0000,6250.0000,0.0002,0.1600
22089,2.0000,6560.0000,0.0003,0.3049
22091,1.0000,1190.0000,0.0008,0.8403
22093,1.0000,2540.0000,0.0004,0.3937
22095,2.0000,5450.0000,0.0004,0.3670
22097,2.0000,9710.0000,0.0002,0.2060
22099,2.0000,6450.0000,0.0003,0.3101
22101,3.0000,6040.0000,0.0005,0.4967
22103,1.0000,28880.0000,0.0000,0.0346
22105,7.0000,17270.0000,0.0004,0.4053
22107,1.0000,390.0000,0.0026,2.5641
22109,4.0000,13950.0000,0.0003,0.2867
22111,2.0000,2330.0000,0.0009,0.8584
22113,2.0000,7130.0000,0.0003,0.2805
22115,2.0000,6680.0000,0.0003,0.2994
22117,3.0000,5110.0000,0.0006,0.5871
22119,3.0000,4380.0000,0.0007,0.6849
22121,2.0000,3250.0000,0.0006,0.6154
22123,1.0000,1050.0000,0.0010,0.9524
22125,u,1090.0000,#VALUE!,#VALUE!
22127,3.0000,1330.0000,0.0023,2.2556
23001,5.0000,12510.0000,0.0004,0.3997
23003,16.0000,6070.0000,0.0026,2.6359
23005,12.0000,35330.0000,0.0003,0.3397
23007,4.0000,3120.0000,0.0013,1.2821
23009,6.0000,4950.0000,0.0012,1.2121
23011,7.0000,13570.0000,0.0005,0.5158
23013,3.0000,3430.0000,0.0009,0.8746
23015,3.0000,2870.0000,0.0010,1.0453
23017,4.0000,5170.0000,0.0008,0.7737
23019,17.0000,18120.0000,0.0009,0.9382
23021,2.0000,1390.0000,0.0014,1.4388
23023,2.0000,3650.0000,0.0005,0.5479
23025,5.0000,4710.0000,0.0011,1.0616
23027,2.0000,3750.0000,0.0005,0.5333
23029,13.0000,2720.0000,0.0048,4.7794
23031,5.0000,22380.0000,0.0002,0.2234
24001,2.0000,7910.0000,0.0003,0.2528
24003,4.0000,70720.0000,0.0001,0.0566
24005,17.0000,106760.0000,0.0002,0.1592
24009,1.0000,10240.0000,0.0001,0.0977
24011,3.0000,3460.0000,0.0009,0.8671
24013,1.0000,18290.0000,0.0001,0.0547
24015,2.0000,11880.0000,0.0002,0.1684
24017,3.0000,20530.0000,0.0001,0.1461
24019,4.0000,3550.0000,0.0011,1.1268
24021,1.0000,29640.0000,0.0000,0.0337
24023,4.0000,2810.0000,0.0014,1.4235
24025,2.0000,29140.0000,0.0001,0.0686
24027,2.0000,39460.0000,0.0001,0.0507
24029,1.0000,2030.0000,0.0005,0.4926
24031,14.0000,129540.0000,0.0001,0.1081
24033,12.0000,124800.0000,0.0001,0.0962
24035,1.0000,4930.0000,0.0002,0.2028
24037,2.0000,3220.0000,0.0006,0.6211
24039,2.0000,14200.0000,0.0001,0.1408
24041,5.0000,3460.0000,0.0014,1.4451
24043,4.0000,16320.0000,0.0002,0.2451
24045,8.0000,14430.0000,0.0006,0.5544
24047,3.0000,4770.0000,0.0006,0.6289
24510,42.0000,95270.0000,0.0004,0.4409
25001,10.0000,18450.0000,0.0005,0.5420
25003,6.0000,13680.0000,0.0004,0.4386
25005,7.0000,68730.0000,0.0001,0.1018
25007,2.0000,1720.0000,0.0012,1.1628
25009,36.0000,93640.0000,0.0004,0.3845
25011,3.0000,7450.0000,0.0004,0.4027
25013,14.0000,59030.0000,0.0002,0.2372
25015,5.0000,26350.0000,0.0002,0.1898
25017,21.0000,216880.0000,0.0001,0.0968
25019,1.0000,1210.0000,0.0008,0.8264
25021,7.0000,87850.0000,0.0001,0.0797
25023,8.0000,57750.0000,0.0001,0.1385
25025,85.0000,138740.0000,0.0006,0.6127
25027,24.0000,101020.0000,0.0002,0.2376
26001,2.0000,620.0000,0.0032,3.2258
26003,2.0000,590.0000,0.0034,3.3898
26005,2.0000,12350.0000,0.0002,0.1619
26007,3.0000,2730.0000,0.0011,1.0989
26009,3.0000,1790.0000,0.0017,1.6760
26011,2.0000,1220.0000,0.0016,1.6393
26013,2.0000,610.0000,0.0033,3.2787
26015,1.0000,6080.0000,0.0002,0.1645
26017,3.0000,11370.0000,0.0003,0.2639
26019,2.0000,1590.0000,0.0013,1.2579
26021,8.0000,16620.0000,0.0005,0.4813
26023,u,4350.0000,#VALUE!,#VALUE!
26025,3.0000,15460.0000,0.0002,0.1940
26027,2.0000,5040.0000,0.0004,0.3968
26029,2.0000,2180.0000,0.0009,0.9174
26031,3.0000,2010.0000,0.0015,1.4925
26033,5.0000,3920.0000,0.0013,1.2755
26035,1.0000,2580.0000,0.0004,0.3876
26037,1.0000,8680.0000,0.0001,0.1152
26039,1.0000,1080.0000,0.0009,0.9259
26041,2.0000,3360.0000,0.0006,0.5952
26043,1.0000,2390.0000,0.0004,0.4184
26045,1.0000,12420.0000,0.0001,0.0805
26047,3.0000,3080.0000,0.0010,0.9740
26049,9.0000,47680.0000,0.0002,0.1888
26051,2.0000,1940.0000,0.0010,1.0309
26053,2.0000,1110.0000,0.0018,1.8018
26055,5.0000,10020.0000,0.0005,0.4990
26057,1.0000,4220.0000,0.0002,0.2370
26059,1.0000,4870.0000,0.0002,0.2053
26061,5.0000,4170.0000,0.0012,1.1990
26063,2.0000,2510.0000,0.0008,0.7968
26065,6.0000,45040.0000,0.0001,0.1332
26067,1.0000,6530.0000,0.0002,0.1531
26069,2.0000,1850.0000,0.0011,1.0811
26071,2.0000,760.0000,0.0026,2.6316
26073,3.0000,12690.0000,0.0002,0.2364
26075,6.0000,17040.0000,0.0004,0.3521
26077,5.0000,37360.0000,0.0001,0.1338
26079,1.0000,1670.0000,0.0006,0.5988
26081,14.0000,84620.0000,0.0002,0.1654
26083,u,150.0000,#VALUE!,#VALUE!
26085,1.0000,820.0000,0.0012,1.2195
26087,1.0000,8840.0000,0.0001,0.1131
26089,2.0000,1740.0000,0.0011,1.1494
26091,2.0000,10240.0000,0.0002,0.1953
26093,1.0000,19680.0000,0.0001,0.0508
26095,1.0000,420.0000,0.0024,2.3810
26097,2.0000,820.0000,0.0024,2.4390
26099,12.0000,102560.0000,0.0001,0.1170
26101,3.0000,1850.0000,0.0016,1.6216
26103,4.0000,8340.0000,0.0005,0.4796
26105,1.0000,2680.0000,0.0004,0.3731
26107,2.0000,5580.0000,0.0004,0.3584
26109,3.0000,2050.0000,0.0015,1.4634
26111,1.0000,9330.0000,0.0001,0.1072
26113,2.0000,1450.0000,0.0014,1.3793
26115,4.0000,16260.0000,0.0002,0.2460
26117,2.0000,6470.0000,0.0003,0.3091
26119,3.0000,610.0000,0.0049,4.9180
26121,4.0000,19510.0000,0.0002,0.2050
26123,4.0000,4380.0000,0.0009,0.9132
26125,10.0000,146700.0000,0.0001,0.0682
26127,2.0000,2310.0000,0.0009,0.8658
26129,2.0000,1680.0000,0.0012,1.1905
26131,3.0000,330.0000,0.0091,9.0909
26133,1.0000,2080.0000,0.0005,0.4808
26135,1.0000,640.0000,0.0016,1.5625
26137,1.0000,2320.0000,0.0004,0.4310
26139,4.0000,36390.0000,0.0001,0.1099
26141,3.0000,870.0000,0.0034,3.4483
26143,4.0000,1570.0000,0.0025,2.5478
26145,11.0000,22150.0000,0.0005,0.4966
26147,1.0000,3590.0000,0.0003,0.2786
26149,2.0000,610.0000,0.0033,3.2787
26151,1.0000,7360.0000,0.0001,0.1359
26153,2.0000,16730.0000,0.0001,0.1195
26155,u,6450.0000,#VALUE!,#VALUE!
26157,1.0000,4850.0000,0.0002,0.2062
26159,1.0000,7770.0000,0.0001,0.1287
26161,6.0000,55300.0000,0.0001,0.1085
26163,36.0000,221710.0000,0.0002,0.1624
26165,2.0000,3390.0000,0.0006,0.5900
27001,u,1050.0000,#VALUE!,#VALUE!
27003,1.0000,40370.0000,0.0000,0.0248
27005,3.0000,3070.0000,0.0010,0.9772
27007,2.0000,5760.0000,0.0003,0.3472
27009,u,4900.0000,#VALUE!,#VALUE!
27011,u,390.0000,#VALUE!,#VALUE!
27013,3.0000,10360.0000,0.0003,0.2896
27015,1.0000,2620.0000,0.0004,0.3817
27017,3.0000,3450.0000,0.0009,0.8696
27019,u,11510.0000,#VALUE!,#VALUE!
27021,4.0000,2400.0000,0.0017,1.6667
27023,u,1090.0000,#VALUE!,#VALUE!
27025,2.0000,5640.0000,0.0004,0.3546
27027,2.0000,9060.0000,0.0002,0.2208
27029,u,770.0000,#VALUE!,#VALUE!
27031,3.0000,420.0000,0.0071,7.1429
27033,u,970.0000,#VALUE!,#VALUE!
27035,u,6300.0000,#VALUE!,#VALUE!
27037,1.0000,49970.0000,0.0000,0.0200
27039,1.0000,2310.0000,0.0004,0.4329
27041,1.0000,3730.0000,0.0003,0.2681
27043,u,1180.0000,#VALUE!,#VALUE!
27045,u,1990.0000,#VALUE!,#VALUE!
27047,u,2920.0000,#VALUE!,#VALUE!
27049,1.0000,4620.0000,0.0002,0.2165
27051,u,490.0000,#VALUE!,#VALUE!
27053,29.0000,166690.0000,0.0002,0.1740
27055,u,1790.0000,#VALUE!,#VALUE!
27057,u,1580.0000,#VALUE!,#VALUE!
27059,1.0000,4230.0000,0.0002,0.2364
27061,4.0000,3730.0000,0.0011,1.0724
27063,u,870.0000,#VALUE!,#VALUE!
27065,1.0000,1410.0000,0.0007,0.7092
27067,1.0000,4460.0000,0.0002,0.2242
27069,u,340.0000,#VALUE!,#VALUE!
27071,3.0000,1040.0000,0.0029,2.8846
27073,u,520.0000,#VALUE!,#VALUE!
27075,1.0000,820.0000,0.0012,1.2195
27077,u,300.0000,#VALUE!,#VALUE!
27079,u,2890.0000,#VALUE!,#VALUE!
27081,u,460.0000,#VALUE!,#VALUE!
27083,2.0000,3060.0000,0.0007,0.6536
27085,2.0000,510.0000,0.0039,3.9216
27087,u,820.0000,#VALUE!,#VALUE!
27089,u,1740.0000,#VALUE!,#VALUE!
27091,1.0000,3830.0000,0.0003,0.2611
27093,u,2080.0000,#VALUE!,#VALUE!
27095,1.0000,2630.0000,0.0004,0.3802
27097,u,3020.0000,#VALUE!,#VALUE!
27099,1.0000,4180.0000,0.0002,0.2392
27101,u,690.0000,#VALUE!,#VALUE!
27103,u,4300.0000,#VALUE!,#VALUE!
27105,2.0000,2330.0000,0.0009,0.8584
27107,1.0000,570.0000,0.0018,1.7544
27109,1.0000,18740.0000,0.0001,0.0534
27111,2.0000,5110.0000,0.0004,0.3914
27113,u,1480.0000,#VALUE!,#VALUE!
27115,1.0000,2340.0000,0.0004,0.4274
27117,u,800.0000,#VALUE!,#VALUE!
27119,1.0000,3410.0000,0.0003,0.2933
27121,u,940.0000,#VALUE!,#VALUE!
27123,16.0000,74950.0000,0.0002,0.2135
27125,1.0000,340.0000,0.0029,2.9412
27127,u,1340.0000,#VALUE!,#VALUE!
27129,u,1280.0000,#VALUE!,#VALUE!
27131,1.0000,7960.0000,0.0001,0.1256
27133,u,850.0000,#VALUE!,#VALUE!
27135,u,1400.0000,#VALUE!,#VALUE!
27137,1.0000,17030.0000,0.0001,0.0587
27139,u,10950.0000,#VALUE!,#VALUE!
27141,u,1470.0000,#VALUE!,#VALUE!
27143,18.0000,23520.0000,0.0008,0.7653
27145,1.0000,20260.0000,0.0000,0.0494
27147,u,3870.0000,#VALUE!,#VALUE!
27149,2.0000,1250.0000,0.0016,1.6000
27151,u,820.0000,#VALUE!,#VALUE!
27153,1.0000,2080.0000,0.0005,0.4808
27155,u,270.0000,#VALUE!,#VALUE!
27157,1.0000,2110.0000,0.0005,0.4739
27159,1.0000,1240.0000,0.0008,0.8065
27161,u,2140.0000,#VALUE!,#VALUE!
27163,u,28640.0000,#VALUE!,#VALUE!
27165,1.0000,1020.0000,0.0010,0.9804
27167,u,640.0000,#VALUE!,#VALUE!
27169,1.0000,7420.0000,0.0001,0.1348
27171,u,14920.0000,#VALUE!,#VALUE!
27173,u,880.0000,#VALUE!,#VALUE!
28001,3.0000,3230.0000,0.0009,0.9288
28003,2.0000,4230.0000,0.0005,0.4728
28005,2.0000,1200.0000,0.0017,1.6667
28007,1.0000,1910.0000,0.0005,0.5236
28009,1.0000,900.0000,0.0011,1.1111
28011,5.0000,4340.0000,0.0012,1.1521
28013,2.0000,1460.0000,0.0014,1.3699
28015,1.0000,980.0000,0.0010,1.0204
28017,3.0000,1840.0000,0.0016,1.6304
28019,1.0000,790.0000,0.0013,1.2658
28021,2.0000,1370.0000,0.0015,1.4599
28023,1.0000,1840.0000,0.0005,0.5435
28025,1.0000,2240.0000,0.0004,0.4464
28027,3.0000,3180.0000,0.0009,0.9434
28029,3.0000,3440.0000,0.0009,0.8721
28031,2.0000,2120.0000,0.0009,0.9434
28033,2.0000,22900.0000,0.0001,0.0873
28035,10.0000,11720.0000,0.0009,0.8532
28037,2.0000,740.0000,0.0027,2.7027
28039,1.0000,2480.0000,0.0004,0.4032
28041,1.0000,1230.0000,0.0008,0.8130
28043,2.0000,2510.0000,0.0008,0.7968
28045,2.0000,5030.0000,0.0004,0.3976
28047,9.0000,25790.0000,0.0003,0.3490
28049,18.0000,34960.0000,0.0005,0.5149
28051,2.0000,2170.0000,0.0009,0.9217
28053,2.0000,920.0000,0.0022,2.1739
28055,u,100.0000,#VALUE!,#VALUE!
28057,2.0000,2750.0000,0.0007,0.7273
28059,4.0000,17290.0000,0.0002,0.2313
28061,2.0000,1820.0000,0.0011,1.0989
28063,3.0000,790.0000,0.0038,3.7975
28065,2.0000,1180.0000,0.0017,1.6949
28067,2.0000,8000.0000,0.0003,0.2500
28069,4.0000,1130.0000,0.0035,3.5398
28071,1.0000,9150.0000,0.0001,0.1093
28073,3.0000,8350.0000,0.0004,0.3593
28075,2.0000,9280.0000,0.0002,0.2155
28077,3.0000,1330.0000,0.0023,2.2556
28079,2.0000,2310.0000,0.0009,0.8658
28081,1.0000,10570.0000,0.0001,0.0946
28083,2.0000,3990.0000,0.0005,0.5013
28085,3.0000,4090.0000,0.0007,0.7335
28087,1.0000,7720.0000,0.0001,0.1295
28089,4.0000,13710.0000,0.0003,0.2918
28091,2.0000,2620.0000,0.0008,0.7634
28093,3.0000,4130.0000,0.0007,0.7264
28095,3.0000,3700.0000,0.0008,0.8108
28097,2.0000,1030.0000,0.0019,1.9417
28099,4.0000,3220.0000,0.0012,1.2422
28101,2.0000,2410.0000,0.0008,0.8299
28103,2.0000,1260.0000,0.0016,1.5873
28105,2.0000,9180.0000,0.0002,0.2179
28107,2.0000,3870.0000,0.0005,0.5168
28109,2.0000,6110.0000,0.0003,0.3273
28111,3.0000,1370.0000,0.0022,2.1898
28113,3.0000,4750.0000,0.0006,0.6316
28115,1.0000,3690.0000,0.0003,0.2710
28117,2.0000,2750.0000,0.0007,0.7273
28119,2.0000,820.0000,0.0024,2.4390
28121,5.0000,19590.0000,0.0003,0.2552
28123,3.0000,3080.0000,0.0010,0.9740
28125,1.0000,470.0000,0.0021,2.1277
28127,2.0000,3130.0000,0.0006,0.6390
28129,3.0000,1620.0000,0.0019,1.8519
28131,1.0000,2010.0000,0.0005,0.4975
28133,4.0000,3030.0000,0.0013,1.3201
28135,1.0000,1350.0000,0.0007,0.7407
28137,2.0000,3530.0000,0.0006,0.5666
28139,3.0000,2390.0000,0.0013,1.2552
28141,1.0000,1940.0000,0.0005,0.5155
28143,3.0000,1410.0000,0.0021,2.1277
28145,1.0000,3090.0000,0.0003,0.3236
28147,2.0000,1520.0000,0.0013,1.3158
28149,4.0000,5740.0000,0.0007,0.6969
28151,5.0000,5880.0000,0.0009,0.8503
28153,1.0000,2260.0000,0.0004,0.4425
28155,1.0000,990.0000,0.0010,1.0101
28157,1.0000,790.0000,0.0013,1.2658
28159,2.0000,1850.0000,0.0011,1.0811
28161,1.0000,1320.0000,0.0008,0.7576
28163,3.0000,2880.0000,0.0010,1.0417
29001,3.0000,4350.0000,0.0007,0.6897
29003,1.0000,1870.0000,0.0005,0.5348
29005,1.0000,470.0000,0.0021,2.1277
29007,3.0000,3550.0000,0.0008,0.8451
29009,5.0000,3240.0000,0.0015,1.5432
29011,2.0000,1110.0000,0.0018,1.8018
29013,2.0000,1690.0000,0.0012,1.1834
29015,2.0000,1300.0000,0.0015,1.5385
29017,1.0000,1240.0000,0.0008,0.8065
29019,5.0000,29270.0000,0.0002,0.1708
29021,4.0000,10540.0000,0.0004,0.3795
29023,2.0000,4680.0000,0.0004,0.4274
29025,3.0000,890.0000,0.0034,3.3708
29027,2.0000,5350.0000,0.0004,0.3738
29029,4.0000,3610.0000,0.0011,1.1080
29031,2.0000,10510.0000,0.0002,0.1903
29033,2.0000,840.0000,0.0024,2.3810
29035,2.0000,590.0000,0.0034,3.3898
29037,5.0000,11530.0000,0.0004,0.4337
29039,u,1170.0000,#VALUE!,#VALUE!
29041,4.0000,630.0000,0.0063,6.3492
29043,u,10000.0000,#VALUE!,#VALUE!
29045,1.0000,640.0000,0.0016,1.5625
29047,4.0000,30180.0000,0.0001,0.1325
29049,u,2130.0000,#VALUE!,#VALUE!
29051,2.0000,8690.0000,0.0002,0.2301
29053,u,1640.0000,#VALUE!,#VALUE!
29055,u,2330.0000,#VALUE!,#VALUE!
29057,1.0000,610.0000,0.0016,1.6393
29059,1.0000,1570.0000,0.0006,0.6369
29061,u,750.0000,#VALUE!,#VALUE!
29063,u,940.0000,#VALUE!,#VALUE!
29065,u,1380.0000,#VALUE!,#VALUE!
29067,1.0000,1070.0000,0.0009,0.9346
29069,1.0000,3360.0000,0.0003,0.2976
29071,4.0000,11100.0000,0.0004,0.3604
29073,u,1320.0000,#VALUE!,#VALUE!
29075,1.0000,630.0000,0.0016,1.5873
29077,5.0000,39250.0000,0.0001,0.1274
29079,1.0000,990.0000,0.0010,1.0101
29081,2.0000,740.0000,0.0027,2.7027
29083,2.0000,1980.0000,0.0010,1.0101
29085,2.0000,640.0000,0.0031,3.1250
29087,2.0000,370.0000,0.0054,5.4054
29089,1.0000,1100.0000,0.0009,0.9091
29091,3.0000,4300.0000,0.0007,0.6977
29093,2.0000,900.0000,0.0022,2.2222
29095,13.0000,90190.0000,0.0001,0.1441
29097,3.0000,14760.0000,0.0002,0.2033
29099,3.0000,25690.0000,0.0001,0.1168
29101,1.0000,7930.0000,0.0001,0.1261
29103,1.0000,340.0000,0.0029,2.9412
29105,1.0000,3830.0000,0.0003,0.2611
29107,3.0000,3400.0000,0.0009,0.8824
29109,1.0000,3710.0000,0.0003,0.2695
29111,1.0000,1160.0000,0.0009,0.8621
29113,u,6560.0000,#VALUE!,#VALUE!
29115,1.0000,1130.0000,0.0009,0.8850
29117,1.0000,1950.0000,0.0005,0.5128
29119,1.0000,1310.0000,0.0008,0.7634
29121,1.0000,1200.0000,0.0008,0.8333
29123,u,810.0000,#VALUE!,#VALUE!
29125,2.0000,3280.0000,0.0006,0.6098
29127,2.0000,2410.0000,0.0008,0.8299
29129,u,310.0000,#VALUE!,#VALUE!
29131,2.0000,2440.0000,0.0008,0.8197
29133,2.0000,1240.0000,0.0016,1.6129
29135,1.0000,1630.0000,0.0006,0.6135
29137,1.0000,730.0000,0.0014,1.3699
29139,u,1040.0000,#VALUE!,#VALUE!
29141,2.0000,1720.0000,0.0012,1.1628
29143,3.0000,1780.0000,0.0017,1.6854
29145,2.0000,6210.0000,0.0003,0.3221
29147,u,3720.0000,#VALUE!,#VALUE!
29149,1.0000,920.0000,0.0011,1.0870
29151,u,1380.0000,#VALUE!,#VALUE!
29153,1.0000,690.0000,0.0014,1.4493
29155,2.0000,1850.0000,0.0011,1.0811
29157,1.0000,1940.0000,0.0005,0.5155
29159,2.0000,4880.0000,0.0004,0.4098
29161,3.0000,5240.0000,0.0006,0.5725
29163,1.0000,1590.0000,0.0006,0.6289
29165,1.0000,12060.0000,0.0001,0.0829
29167,1.0000,3820.0000,0.0003,0.2618
29169,u,6990.0000,#VALUE!,#VALUE!
29171,1.0000,410.0000,0.0024,2.4390
29173,1.0000,980.0000,0.0010,1.0204
29175,1.0000,2690.0000,0.0004,0.3717
29177,1.0000,2340.0000,0.0004,0.4274
29179,1.0000,520.0000,0.0019,1.9231
29181,1.0000,1310.0000,0.0008,0.7634
29183,2.0000,2630.0000,0.0008,0.7605
29185,u,450.0000,#VALUE!,#VALUE!
29186,u,470.0000,#VALUE!,#VALUE!
29187,2.0000,4330.0000,0.0005,0.4619
29189,1.0000,700.0000,0.0014,1.4286
29195,u,550.0000,#VALUE!,#VALUE!
29197,3.0000,47330.0000,0.0001,0.0634
29199,3.0000,730.0000,0.0041,4.1096
29201,1.0000,6920.0000,0.0001,0.1445
29203,16.0000,121420.0000,0.0001,0.1318
29205,u,1680.0000,#VALUE!,#VALUE!
29207,3.0000,2870.0000,0.0010,1.0453
29209,3.0000,2480.0000,0.0012,1.2097
29211,1.0000,580.0000,0.0017,1.7241
29213,3.0000,6170.0000,0.0005,0.4862
29215,2.0000,2170.0000,0.0009,0.9217
29217,2.0000,2140.0000,0.0009,0.9346
29219,2.0000,3570.0000,0.0006,0.5602
29221,1.0000,2380.0000,0.0004,0.4202
29223,u,1080.0000,#VALUE!,#VALUE!
29225,3.0000,4030.0000,0.0007,0.7444
29227,u,170.0000,#VALUE!,#VALUE!
29229,3.0000,1650.0000,0.0018,1.8182
29510,9.0000,48130.0000,0.0002,0.1870
30001,3.0000,1040.0000,0.0029,2.8846
30003,4.0000,1400.0000,0.0029,2.8571
30005,3.0000,680.0000,0.0044,4.4118
30007,u,480.0000,#VALUE!,#VALUE!
30009,2.0000,940.0000,0.0021,2.1277
30011,u,100.0000,#VALUE!,#VALUE!
30013,3.0000,9390.0000,0.0003,0.3195
30015,u,540.0000,#VALUE!,#VALUE!
30017,1.0000,1210.0000,0.0008,0.8264
30019,u,130.0000,#VALUE!,#VALUE!
30021,1.0000,910.0000,0.0011,1.0989
30023,2.0000,760.0000,0.0026,2.6316
30025,1.0000,300.0000,0.0033,3.3333
30027,2.0000,980.0000,0.0020,2.0408
30029,4.0000,10580.0000,0.0004,0.3781
30031,4.0000,15290.0000,0.0003,0.2616
30033,u,130.0000,#VALUE!,#VALUE!
30035,2.0000,1500.0000,0.0013,1.3333
30037,u,80.0000,#VALUE!,#VALUE!
30039,u,250.0000,#VALUE!,#VALUE!
30041,3.0000,1800.0000,0.0017,1.6667
30043,u,1030.0000,#VALUE!,#VALUE!
30045,u,150.0000,#VALUE!,#VALUE!
30047,6.0000,2770.0000,0.0022,2.1661
30049,4.0000,7520.0000,0.0005,0.5319
30051,u,250.0000,#VALUE!,#VALUE!
30053,2.0000,1420.0000,0.0014,1.4085
30055,2.0000,580.0000,0.0034,3.4483
30057,u,140.0000,#VALUE!,#VALUE!
30059,u,150.0000,#VALUE!,#VALUE!
30061,1.0000,290.0000,0.0034,3.4483
30063,5.0000,16630.0000,0.0003,0.3007
30065,u,360.0000,#VALUE!,#VALUE!
30067,1.0000,1480.0000,0.0007,0.6757
30069,u,40.0000,#VALUE!,#VALUE!
30071,u,340.0000,#VALUE!,#VALUE!
30073,2.0000,590.0000,0.0034,3.3898
30075,1.0000,130.0000,0.0077,7.6923
30077,u,420.0000,#VALUE!,#VALUE!
30079,u,90.0000,#VALUE!,#VALUE!
30081,1.0000,3440.0000,0.0003,0.2907
30083,2.0000,1210.0000,0.0017,1.6529
30085,5.0000,1220.0000,0.0041,4.0984
30087,4.0000,910.0000,0.0044,4.3956
30089,u,840.0000,#VALUE!,#VALUE!
30091,u,320.0000,#VALUE!,#VALUE!
30093,3.0000,3940.0000,0.0008,0.7614
30095,u,770.0000,#VALUE!,#VALUE!
30097,u,290.0000,#VALUE!,#VALUE!
30099,u,550.0000,#VALUE!,#VALUE!
30101,2.0000,390.0000,0.0051,5.1282
30103,1.0000,50.0000,0.0200,20.0000
30105,2.0000,670.0000,0.0030,2.9851
30107,u,180.0000,#VALUE!,#VALUE!
30109,u,90.0000,#VALUE!,#VALUE!
30111,6.0000,19080.0000,0.0003,0.3145
31001,1.0000,3510.0000,0.0003,0.2849
31003,2.0000,500.0000,0.0040,4.0000
31005,u,30.0000,#VALUE!,#VALUE!
31007,u,60.0000,#VALUE!,#VALUE!
31009,u,30.0000,#VALUE!,#VALUE!
31011,u,450.0000,#VALUE!,#VALUE!
31013,1.0000,1080.0000,0.0009,0.9259
31015,u,150.0000,#VALUE!,#VALUE!
31017,u,250.0000,#VALUE!,#VALUE!
31019,1.0000,6770.0000,0.0001,0.1477
31021,u,530.0000,#VALUE!,#VALUE!
31023,u,680.0000,#VALUE!,#VALUE!
31025,1.0000,2550.0000,0.0004,0.3922
31027,u,720.0000,#VALUE!,#VALUE!
31029,u,330.0000,#VALUE!,#VALUE!
31031,u,500.0000,#VALUE!,#VALUE!
31033,u,990.0000,#VALUE!,#VALUE!
31035,u,530.0000,#VALUE!,#VALUE!
31037,u,1000.0000,#VALUE!,#VALUE!
31039,u,790.0000,#VALUE!,#VALUE!
31041,u,950.0000,#VALUE!,#VALUE!
31043,1.0000,2370.0000,0.0004,0.4219
31045,1.0000,1190.0000,0.0008,0.8403
31047,1.0000,2560.0000,0.0004,0.3906
31049,u,140.0000,#VALUE!,#VALUE!
31051,u,540.0000,#VALUE!,#VALUE!
31053,2.0000,3960.0000,0.0005,0.5051
31055,20.0000,72880.0000,0.0003,0.2744
31057,u,150.0000,#VALUE!,#VALUE!
31059,u,500.0000,#VALUE!,#VALUE!
31061,u,250.0000,#VALUE!,#VALUE!
31063,u,260.0000,#VALUE!,#VALUE!
31065,u,410.0000,#VALUE!,#VALUE!
31067,1.0000,2100.0000,0.0005,0.4762
31069,u,150.0000,#VALUE!,#VALUE!
31071,u,150.0000,#VALUE!,#VALUE!
31073,u,170.0000,#VALUE!,#VALUE!
31075,u,50.0000,#VALUE!,#VALUE!
31077,u,210.0000,#VALUE!,#VALUE!
31079,1.0000,7030.0000,0.0001,0.1422
31081,u,950.0000,#VALUE!,#VALUE!
31083,u,270.0000,#VALUE!,#VALUE!
31085,u,60.0000,#VALUE!,#VALUE!
31087,u,230.0000,#VALUE!,#VALUE!
31089,u,820.0000,#VALUE!,#VALUE!
31091,u,60.0000,#VALUE!,#VALUE!
31093,u,610.0000,#VALUE!,#VALUE!
31095,u,600.0000,#VALUE!,#VALUE!
31097,1.0000,350.0000,0.0029,2.8571
31099,u,640.0000,#VALUE!,#VALUE!
31101,u,660.0000,#VALUE!,#VALUE!
31103,u,50.0000,#VALUE!,#VALUE!
31105,u,290.0000,#VALUE!,#VALUE!
31107,2.0000,660.0000,0.0030,3.0303
31109,3.0000,43200.0000,0.0001,0.0694
31111,1.0000,3790.0000,0.0003,0.2639
31113,u,70.0000,#VALUE!,#VALUE!
31115,u,50.0000,#VALUE!,#VALUE!
31117,2.0000,3990.0000,0.0005,0.5013
31119,u,40.0000,#VALUE!,#VALUE!
31121,u,810.0000,#VALUE!,#VALUE!
31123,u,430.0000,#VALUE!,#VALUE!
31125,u,320.0000,#VALUE!,#VALUE!
31127,1.0000,740.0000,0.0014,1.3514
31129,u,330.0000,#VALUE!,#VALUE!
31131,u,1470.0000,#VALUE!,#VALUE!
31133,u,210.0000,#VALUE!,#VALUE!
31135,u,230.0000,#VALUE!,#VALUE!
31137,u,850.0000,#VALUE!,#VALUE!
31139,u,680.0000,#VALUE!,#VALUE!
31141,2.0000,3470.0000,0.0006,0.5764
31143,u,440.0000,#VALUE!,#VALUE!
31145,1.0000,1050.0000,0.0010,0.9524
31147,1.0000,670.0000,0.0015,1.4925
31149,u,100.0000,#VALUE!,#VALUE!
31151,1.0000,1520.0000,0.0007,0.6579
31153,1.0000,22770.0000,0.0000,0.0439
31155,u,2090.0000,#VALUE!,#VALUE!
31157,2.0000,3990.0000,0.0005,0.5013
31159,u,1890.0000,#VALUE!,#VALUE!
31161,1.0000,430.0000,0.0023,2.3256
31163,u,230.0000,#VALUE!,#VALUE!
31165,u,120.0000,#VALUE!,#VALUE!
