fips,"Total publicly funded clinics, 2015 [1]","no. of women with demand, 18 and under to 44",No. of clinics per women with demand,No. of clinics per 1000 women with demand
8041,1.0000,2530.0000,0.0004,0.3953
8043,2.0000,3550.0000,0.0006,0.5634
8045,6.0000,7150.0000,0.0008,0.8392
8047,u,570.0000,#VALUE!,#VALUE!
8049,2.0000,1510.0000,0.0013,1.3245
8051,1.0000,2140.0000,0.0005,0.4673
8053,u,60.0000,#VALUE!,#VALUE!
8055,1.0000,460.0000,0.0022,2.1739
8057,u,130.0000,#VALUE!,#VALUE!
8059,10.0000,69370.0000,0.0001,0.1442
8061,u,130.0000,#VALUE!,#VALUE!
8063,2.0000,700.0000,0.0029,2.8571
8065,4.0000,6780.0000,0.0006,0.5900
8067,2.0000,850.0000,0.0024,2.3529
8069,9.0000,48110.0000,0.0002,0.1871
8071,u,1200.0000,#VALUE!,#VALUE!
8073,2.0000,460.0000,0.0043,4.3478
8075,2.0000,2260.0000,0.0009,0.8850
8077,2.0000,17890.0000,0.0001,0.1118
8079,u,50.0000,#VALUE!,#VALUE!
8081,1.0000,1490.0000,0.0007,0.6711
8083,3.0000,2530.0000,0.0012,1.1858
8085,4.0000,4030.0000,0.0010,0.9926
8087,2.0000,3320.0000,0.0006,0.6024
8089,3.0000,1790.0000,0.0017,1.6760
8091,u,340.0000,#VALUE!,#VALUE!
8093,u,1380.0000,#VALUE!,#VALUE!
8095,1.0000,410.0000,0.0024,2.4390
8097,1.0000,2030.0000,0.0005,0.4926
8099,6.0000,1200.0000,0.0050,5.0000
8101,9.0000,18970.0000,0.0005,0.4744
8103,2.0000,740.0000,0.0027,2.7027
8105,1.0000,1150.0000,0.0009,0.8696
8107,2.0000,2990.0000,0.0007,0.6689
8109,2.0000,500.0000,0.0040,4.0000
8111,u,50.0000,#VALUE!,#VALUE!
8113,2.0000,860.0000,0.0023,2.3256
8115,1.0000,220.0000,0.0045,4.5455
8117,4.0000,4090.0000,0.0010,0.9780
8119,3.0000,2160.0000,0.0014,1.3889
8121,1.0000,450.0000,0.0022,2.2222
8123,11.0000,38160.0000,0.0003,0.2883
8125,1.0000,990.0000,0.0010,1.0101
9001,23.0000,112480.0000,0.0002,0.2045
9003,20.0000,109340.0000,0.0002,0.1829
9005,3.0000,18420.0000,0.0002,0.1629
9007,5.0000,17870.0000,0.0003,0.2798
9009,18.0000,108210.0000,0.0002,0.1663
9011,13.0000,31140.0000,0.0004,0.4175
9013,1.0000,20820.0000,0.0000,0.0480
9015,9.0000,13950.0000,0.0006,0.6452
10001,11.0000,22260.0000,0.0005,0.4942
10003,20.0000,72610.0000,0.0003,0.2754
10005,10.0000,20500.0000,0.0005,0.4878
12001,8.0000,44560.0000,0.0002,0.1795
12003,2.0000,3180.0000,0.0006,0.6289
12005,1.0000,21480.0000,0.0000,0.0466
12007,2.0000,2350.0000,0.0009,0.8511
12009,10.0000,57670.0000,0.0002,0.1734
12011,9.0000,235360.0000,0.0000,0.0382
12013,1.0000,1260.0000,0.0008,0.7937
12015,3.0000,12220.0000,0.0002,0.2455
12017,5.0000,10560.0000,0.0005,0.4735
12019,5.0000,24490.0000,0.0002,0.2042
12021,10.0000,31840.0000,0.0003,0.3141
12023,3.0000,7090.0000,0.0004,0.4231
12027,4.0000,3100.0000,0.0013,1.2903
12029,2.0000,1230.0000,0.0016,1.6260
12031,15.0000,126040.0000,0.0001,0.1190
12033,7.0000,40110.0000,0.0002,0.1745
12035,3.0000,9610.0000,0.0003,0.3122
12037,3.0000,850.0000,0.0035,3.5294
12039,7.0000,5470.0000,0.0013,1.2797
12041,4.0000,1700.0000,0.0024,2.3529
12043,2.0000,1010.0000,0.0020,1.9802
12045,3.0000,1170.0000,0.0026,2.5641
12047,1.0000,1110.0000,0.0009,0.9009
12049,3.0000,2880.0000,0.0010,1.0417
12051,3.0000,4460.0000,0.0007,0.6726
12053,2.0000,17130.0000,0.0001,0.1168
12055,3.0000,8160.0000,0.0004,0.3676
12057,20.0000,184180.0000,0.0001,0.1086
12059,2.0000,1690.0000,0.0012,1.1834
12061,6.0000,12840.0000,0.0005,0.4673
12063,1.0000,4170.0000,0.0002,0.2398
12065,1.0000,1190.0000,0.0008,0.8403
12067,2.0000,670.0000,0.0030,2.9851
12069,6.0000,33470.0000,0.0002,0.1793
12071,11.0000,70550.0000,0.0002,0.1559
12073,11.0000,50050.0000,0.0002,0.2198
12075,3.0000,3570.0000,0.0008,0.8403
12077,3.0000,660.0000,0.0045,4.5455
12079,2.0000,1670.0000,0.0012,1.1976
12081,11.0000,36520.0000,0.0003,0.3012
12083,11.0000,33590.0000,0.0003,0.3275
12085,6.0000,12990.0000,0.0005,0.4619
12086,46.0000,339870.0000,0.0001,0.1353
12087,7.0000,7990.0000,0.0009,0.8761
12089,3.0000,8340.0000,0.0004,0.3597
12091,4.0000,24050.0000,0.0002,0.1663
12093,3.0000,4050.0000,0.0007,0.7407
12095,23.0000,191370.0000,0.0001,0.1202
12097,10.0000,43240.0000,0.0002,0.2313
12099,19.0000,155610.0000,0.0001,0.1221
12101,8.0000,53220.0000,0.0002,0.1503
12103,18.0000,101460.0000,0.0002,0.1774
12105,14.0000,76450.0000,0.0002,0.1831
12107,5.0000,7120.0000,0.0007,0.7022
12109,4.0000,18600.0000,0.0002,0.2151
12111,7.0000,32940.0000,0.0002,0.2125
12113,4.0000,58400.0000,0.0001,0.0685
12115,4.0000,24620.0000,0.0002,0.1625
12117,9.0000,31780.0000,0.0003,0.2832
12119,3.0000,4810.0000,0.0006,0.6237
12121,3.0000,3750.0000,0.0008,0.8000
12123,4.0000,1810.0000,0.0022,2.2099
12125,1.0000,1090.0000,0.0009,0.9174
12127,7.0000,54500.0000,0.0001,0.1284
12129,2.0000,3210.0000,0.0006,0.6231
12131,4.0000,6500.0000,0.0006,0.6154
12133,1.0000,2180.0000,0.0005,0.4587
13001,2.0000,1800.0000,0.0011,1.1111
13003,2.0000,890.0000,0.0022,2.2472
13005,2.0000,1220.0000,0.0016,1.6393
13007,2.0000,320.0000,0.0063,6.2500
13009,2.0000,6250.0000,0.0003,0.3200
13011,2.0000,1850.0000,0.0011,1.0811
13013,2.0000,9890.0000,0.0002,0.2022
13015,2.0000,12660.0000,0.0002,0.1580
13017,3.0000,1970.0000,0.0015,1.5228
13019,2.0000,1890.0000,0.0011,1.0582
13021,5.0000,20150.0000,0.0002,0.2481
13023,2.0000,1590.0000,0.0013,1.2579
13025,2.0000,2030.0000,0.0010,0.9852
13027,1.0000,1590.0000,0.0006,0.6289
13029,2.0000,4690.0000,0.0004,0.4264
13031,2.0000,12500.0000,0.0002,0.1600
13033,2.0000,2630.0000,0.0008,0.7605
13035,2.0000,2430.0000,0.0008,0.8230
13037,2.0000,490.0000,0.0041,4.0816
13039,3.0000,6690.0000,0.0004,0.4484
13043,2.0000,1120.0000,0.0018,1.7857
13045,2.0000,15820.0000,0.0001,0.1264
13047,2.0000,7580.0000,0.0003,0.2639
13049,2.0000,1000.0000,0.0020,2.0000
13051,17.0000,41180.0000,0.0004,0.4128
13053,3.0000,1190.0000,0.0025,2.5210
13055,2.0000,2620.0000,0.0008,0.7634
13057,3.0000,28640.0000,0.0001,0.1047
13059,6.0000,24140.0000,0.0002,0.2486
13061,2.0000,280.0000,0.0071,7.1429
13063,6.0000,40990.0000,0.0001,0.1464
13065,1.0000,780.0000,0.0013,1.2821
13067,6.0000,101360.0000,0.0001,0.0592
13069,3.0000,5100.0000,0.0006,0.5882
13071,2.0000,5330.0000,0.0004,0.3752
13073,1.0000,18710.0000,0.0001,0.0534
13075,1.0000,1880.0000,0.0005,0.5319
13077,2.0000,16880.0000,0.0001,0.1185
13079,1.0000,1230.0000,0.0008,0.8130
13081,3.0000,2670.0000,0.0011,1.1236
13083,2.0000,1940.0000,0.0010,1.0309
13085,1.0000,2460.0000,0.0004,0.4065
13087,10.0000,108890.0000,0.0001,0.0918
13089,1.0000,3120.0000,0.0003,0.3205
13091,3.0000,1980.0000,0.0015,1.5152
13093,2.0000,1180.0000,0.0017,1.6949
13095,8.0000,12430.0000,0.0006,0.6436
13097,1.0000,19030.0000,0.0001,0.0525
13099,2.0000,1080.0000,0.0019,1.8519
13101,1.0000,470.0000,0.0021,2.1277
13103,1.0000,7170.0000,0.0001,0.1395
13105,2.0000,1870.0000,0.0011,1.0695
13107,4.0000,2380.0000,0.0017,1.6807
13109,1.0000,1110.0000,0.0009,0.9009
13111,2.0000,2010.0000,0.0010,0.9950
13113,1.0000,11660.0000,0.0001,0.0858
13115,2.0000,11860.0000,0.0002,0.1686
13117,2.0000,25340.0000,0.0001,0.0789
13119,2.0000,2280.0000,0.0009,0.8772
13121,28.0000,153850.0000,0.0002,0.1820
13123,3.0000,2600.0000,0.0012,1.1538
13125,2.0000,300.0000,0.0067,6.6667
13127,2.0000,9820.0000,0.0002,0.2037
13129,1.0000,6790.0000,0.0001,0.1473
13131,1.0000,2600.0000,0.0004,0.3846
13133,2.0000,1410.0000,0.0014,1.4184
13135,8.0000,119870.0000,0.0001,0.0667
13137,2.0000,5410.0000,0.0004,0.3697
13139,2.0000,23280.0000,0.0001,0.0859
13141,2.0000,720.0000,0.0028,2.7778
13143,1.0000,3370.0000,0.0003,0.2967
13145,1.0000,3430.0000,0.0003,0.2915
13147,2.0000,2360.0000,0.0008,0.8475
13149,1.0000,1290.0000,0.0008,0.7752
13151,1.0000,29380.0000,0.0000,0.0340
13153,2.0000,19920.0000,0.0001,0.1004
13155,3.0000,880.0000,0.0034,3.4091
13157,4.0000,7660.0000,0.0005,0.5222
13159,1.0000,1480.0000,0.0007,0.6757
13161,1.0000,1590.0000,0.0006,0.6289
13163,4.0000,1620.0000,0.0025,2.4691
13165,1.0000,860.0000,0.0012,1.1628
13167,2.0000,860.0000,0.0023,2.3256
13169,3.0000,3270.0000,0.0009,0.9174
13171,2.0000,2450.0000,0.0008,0.8163
13173,1.0000,1280.0000,0.0008,0.7813
13175,2.0000,5600.0000,0.0004,0.3571
13177,2.0000,3570.0000,0.0006,0.5602
13179,3.0000,9240.0000,0.0003,0.3247
13181,1.0000,790.0000,0.0013,1.2658
13183,2.0000,2540.0000,0.0008,0.7874
13185,3.0000,17480.0000,0.0002,0.1716
13187,2.0000,3940.0000,0.0005,0.5076
13189,3.0000,1220.0000,0.0025,2.4590
13191,3.0000,3260.0000,0.0009,0.9202
13193,1.0000,880.0000,0.0011,1.1364
13195,1.0000,2510.0000,0.0004,0.3984
13197,1.0000,1360.0000,0.0007,0.7353
13199,3.0000,2320.0000,0.0013,1.2931
13201,1.0000,590.0000,0.0017,1.6949
13205,1.0000,2130.0000,0.0005,0.4695
13207,2.0000,2880.0000,0.0007,0.6944
13209,2.0000,970.0000,0.0021,2.0619
13211,1.0000,1940.0000,0.0005,0.5155
13213,2.0000,4710.0000,0.0004,0.4246
13215,4.0000,26630.0000,0.0002,0.1502
13217,1.0000,13850.0000,0.0001,0.0722
13219,1.0000,3980.0000,0.0003,0.2513
13221,2.0000,1640.0000,0.0012,1.2195
13223,1.0000,20160.0000,0.0000,0.0496
13225,2.0000,3530.0000,0.0006,0.5666
13227,1.0000,3150.0000,0.0003,0.3175
13229,1.0000,2160.0000,0.0005,0.4630
13231,2.0000,2080.0000,0.0010,0.9615
13233,3.0000,4860.0000,0.0006,0.6173
13235,2.0000,1530.0000,0.0013,1.3072
13237,1.0000,2020.0000,0.0005,0.4950
13239,1.0000,180.0000,0.0056,5.5556
13241,2.0000,1460.0000,0.0014,1.3699
13243,1.0000,760.0000,0.0013,1.3158
13245,8.0000,28040.0000,0.0003,0.2853
13247,2.0000,11100.0000,0.0002,0.1802
13249,3.0000,590.0000,0.0051,5.0847
13251,1.0000,1430.0000,0.0007,0.6993
13253,1.0000,810.0000,0.0012,1.2346
13255,1.0000,7700.0000,0.0001,0.1299
13257,1.0000,2990.0000,0.0003,0.3344
13259,2.0000,410.0000,0.0049,4.8780
13261,6.0000,4010.0000,0.0015,1.4963
13263,2.0000,560.0000,0.0036,3.5714
13265,1.0000,130.0000,0.0077,7.6923
