,fips,No. of clinics per 1000 women with demand
413,13057,0.1047
414,13059,0.2486
415,13061,7.1429
416,13063,0.1464
417,13065,1.2821
418,13067,0.0592
419,13069,0.5882
420,13071,0.3752
421,13073,0.0534
422,13075,0.5319
423,13077,0.1185
424,13079,0.8130
425,13081,1.1236
426,13083,1.0309
427,13085,0.4065
428,13087,0.0918
429,13089,0.3205
430,13091,1.5152
431,13093,1.6949
432,13095,0.6436
433,13097,0.0525
434,13099,1.8519
435,13101,2.1277
436,13103,0.1395
437,13105,1.0695
438,13107,1.6807
439,13109,0.9009
440,13111,0.9950
441,13113,0.0858
442,13115,0.1686
443,13117,0.0789
444,13119,0.8772
445,13121,0.1820
446,13123,1.1538
447,13125,6.6667
448,13127,0.2037
449,13129,0.1473
450,13131,0.3846
451,13133,1.4184
452,13135,0.0667
453,13137,0.3697
454,13139,0.0859
455,13141,2.7778
456,13143,0.2967
457,13145,0.2915
458,13147,0.8475
459,13149,0.7752
460,13151,0.0340
461,13153,0.1004
462,13155,3.4091
463,13157,0.5222
464,13159,0.6757
465,13161,0.6289
466,13163,2.4691
467,13165,1.1628
468,13167,2.3256
469,13169,0.9174
470,13171,0.8163
471,13173,0.7813
472,13175,0.3571
473,13177,0.5602
474,13179,0.3247
475,13181,1.2658
476,13183,0.7874
477,13185,0.1716
478,13187,0.5076
479,13189,2.4590
480,13191,0.9202
481,13193,1.1364
482,13195,0.3984
483,13197,0.7353
484,13199,1.2931
485,13201,1.6949
486,13205,0.4695
487,13207,0.6944
488,13209,2.0619
489,13211,0.5155
490,13213,0.4246
491,13215,0.1502
492,13217,0.0722
493,13219,0.2513
494,13221,1.2195
495,13223,0.0496
496,13225,0.5666
497,13227,0.3175
498,13229,0.4630
499,13231,0.9615
500,13233,0.6173
501,13235,1.3072
502,13237,0.4950
503,13239,5.5556
504,13241,1.3699
505,13243,1.3158
506,13245,0.2853
507,13247,0.1802
508,13249,5.0847
509,13251,0.6993
510,13253,1.2346
511,13255,0.1299
512,13257,0.3344
513,13259,4.8780
514,13261,1.4963
515,13263,3.5714
516,13265,7.6923
517,13267,1.3699
518,13269,2.4096
519,13271,1.6000
520,13273,2.0619
521,13275,0.1908
522,13277,0.3914
523,13279,0.6211
524,13281,0.9901
525,13283,3.0303
526,13285,0.2227
527,13287,1.2987
528,13289,2.5641
529,13291,0.6061
530,13293,0.6734
531,13295,0.3963
532,13297,0.2799
533,13299,0.7557
534,13301,4.0816
535,13303,1.5228
536,13305,0.3096
537,13307,4.3478
538,13309,1.9231
539,13311,0.7273
540,13313,0.1618
541,13315,2.9412
542,13317,1.1111
543,13319,2.2727
544,13321,0.4310
545,15001,0.6906
546,15003,0.1501
547,15005,#VALUE!
548,15007,0.3797
549,15009,0.3680
550,16001,0.1781
551,16003,3.7037
552,16005,0.6422
553,16007,3.5714
554,16009,4.0000
555,16011,0.7722
556,16013,#VALUE!
557,16015,#VALUE!
558,16017,1.2821
559,16019,0.1443
560,16021,2.8846
561,16023,4.3478
562,16025,10.0000
563,16027,0.3407
564,16029,1.5873
565,16031,0.3802
566,16033,10.0000
567,16035,5.2632
568,16037,3.1250
569,16039,0.9063
570,16041,0.6757
571,16043,1.4815
572,16045,1.1834
573,16047,#VALUE!
574,16049,1.6949
575,16051,0.9346
576,16053,0.3788
577,16055,0.2283
578,16057,0.3205
579,16059,1.7241
580,16061,6.6667
581,16063,#VALUE!
582,16065,0.2677
583,16067,0.4367
584,16069,0.6494
585,16071,2.6316
586,16073,2.5641
587,16075,1.2097
588,16077,2.6316
589,16079,2.8037
590,16081,0.7692
591,16083,0.4907
592,16085,1.2048
593,16087,1.1765
594,17001,0.2721
595,17003,4.7619
596,17005,0.5747
597,17007,0.1698
598,17009,#VALUE!
599,17011,#VALUE!
600,17013,#VALUE!
601,17015,#VALUE!
602,17017,1.5504
603,17019,0.1773
604,17021,#VALUE!
605,17023,#VALUE!
606,17025,0.7874
607,17027,#VALUE!
608,17029,0.3841
609,17031,0.2445
610,17033,#VALUE!
611,17035,#VALUE!
612,17037,0.1832
613,17039,#VALUE!
614,17041,#VALUE!
615,17043,0.0630
616,17045,#VALUE!
617,17047,1.6667
618,17049,0.5362
619,17051,0.4926
620,17053,#VALUE!
621,17055,0.5263
622,17057,0.5917
623,17059,2.0833
624,17061,#VALUE!
